,ID Paper,Title,Year,Domain,Process lifecycle phase,Modelling language,Modelling language type,Logistics coverage,challenge,Technology of event producer,Focus,ContributionType,Event processing Language,Event Processing Language Style,Logistic Sector,State-framework-tool-architecture
93,2569,A Ubiquitous Process Coordination System for RFID/USN Events,2011,undetermined,process implementation,undetermined,declarative,general mention in the paper,integrated platforms for BPM & CEP,RFID,"a process coordination systme to support the processing and analysis of ubiquitous events, integrating BP and ubiquitous",tool,JESS,Production rules,Undetermined,No sources provided
94,2574,A Framework of Process Mining for RFID Event Analysis,2011,other,process analysis,undetermined,imperative,general mention in the paper,automatic event-based monitoring of processes,RFID,"BP mining for RFID event analysis, analysis of real-time data & events.",framework,EPL (Esper Event Processing Language),Hybrid,Other,No sources provided
95,2586,A methodology for dynamic service compositions based on an event-driven approach,2011,port;airport;food,process redesign,BPMN,imperative,use case,choreographies&inter-process correlation,RFID,Event driven business process management,method,"BEMN (Business Event Modeling Notation), EPL (Esper Event Processing Language)",Hybrid,Air Transport;Maritime Transport;Foodstuffs,n/a
96,2596,A GSM-based approach for monitoring cross-organization business processes using smart objects,2016,port;transport,process monitoring,"GSM (Guard-Stage-Milestone), BPMN",imperative;declarative,motivating/running example,choreographies&inter-process correlation,others,monitoring processes that are cross-organization executed,architecture,undetermined,N/A,Maritime Transport;General Transport,Research only
97,2605,Research on RFID integration middleware for enterprise information system,2011,parcel delivery,process analysis,business rules,undetermined,motivating/running example,integrated platforms for BPM & CEP,RFID,They propose a middleware focuses on business process integration between RFID and enterprise information systems.,framework,EPL (Esper Event Processing Language),Hybrid,Transshipment,No sources provided
98,2673,Monitoring business constraints with the event calculus,2014,port,process analysis;process monitoring,Declare,declarative,use case;motivating/running example,event models for BPM;integrated platforms for BPM & CEP,others,a non-intrusive framework for monitoring systems whose dynamics is characterized by means of event streams,framework,undetermined,N/A,Maritime Transport,Research only
99,2694,Enabling Business Process Integration of IoT-events to the Benefit of Sustainable Logistics,2011,other,process analysis,undetermined,imperative,use case,event data quality,IoT,Retrieve value information from IoT and assist for the later decision making,framework,undetermined,N/A,Maritime Transport;General Transport;Other,Conceptual
100,2709,Optimizing event pattern matching using business process models,2014,undetermined,process analysis,BPMN,imperative,general mention in the paper,patterns and models for communication,RFID,Method for complex event processing optimization using bueinss process models.,method,"EPL (Esper Event Processing Language), Streams",Hybrid,Other,n/a
101,2720,Scalable and distributed architecture based on Apache Spark Streaming and PROM6 for processing RoRo terminals logs,2019,port,process discovery;process analysis,undetermined,undetermined,use case;motivating/running example,from event streams to process models and back,undetermined,they addressed the limitation of processing event streams in PROM framework for process mining with the exploitation of big data technologies supported by Apache Spark Streaming,framework,undetermined,N/A,Maritime Transport,Conceptual
102,2721,Process mining driven analysis-Model discovery: Case study of RoRo terminals,2019,port;transport,process discovery,Process tree,imperative,use case,from event streams to process models and back,undetermined,Process Discovery in a RoRo terminal,method,undetermined,N/A,Maritime Transport;General Transport,n/a
103,2728,Checking Realizability of a Timed Business Processes Choreography.,2017,pharmacy,process analysis,BPMN,imperative,use case,choreographies&inter-process correlation,undetermined,Transform BPMn and peer-system models into a formal specification to verify it in choreographies environments,method;tool,undetermined,N/A,Chemical and pharmaceuticals,No sources provided
104,2731,Choreography modeling compliance for timed business models,2014,pharmacy,process redesign,BPMN,imperative,motivating/running example,choreographies&inter-process correlation,undetermined,Choreography,method,undetermined,N/A,Chemical and pharmaceuticals,n/a
105,2751,Hierarchical robustness model for business processes,2018,port;transport,process analysis,undetermined,undetermined,motivating/running example,compliance& audit& privacy& security,undetermined,Failure Management,method,undetermined,N/A,Maritime Transport;General Transport,n/a
106,2765,A model and an implementation approach for Event-driven Service Orientation,2009,other,process implementation,BPEL,imperative,use case,integrated platforms for BPM & CEP,others,"In this article we introduced the concept of an event-driven service-oriented architecture (ED-SOA) and proposed several aspects for its realization, such as an event model and a reference structure",architecture,undetermined,N/A,Other,Proof of concept
107,2811,Domain specific reference models for event pattern - for faster developing of business activity monitoring applications,2007,multimodal,process identification,undetermined,undetermined,general mention in the paper,event models for BPM,undetermined,A meta model is defined for faster developing reference models for other domains.,language,undetermined,N/A,Multimodal Transport,n/a
108,2816,Using complex event processing to support data fusion for ambulance coordination,2014,port;transport,process analysis,FSM (Finite State Machine),imperative,use case,integrated platforms for BPM & CEP,GPS,event driven architecture for ambulance coordination,architecture,EPL (Esper Event Processing Language),Hybrid,Maritime Transport;General Transport,Prototype
109,2849,Towards IoT-driven Process Event Log Generation for Conformance Checking in Smart Factories,2020,manufacturing,process analysis,BPMN,imperative,general mention in the paper,automatic event-based monitoring of processes;integrated platforms for BPM & CEP;from event streams to process models and back,undetermined,correlate and compose IoT sensor streams with events and activities on a process level-based on CEP.,framework,Siddhi API,Data stream query language,Manufacturing (general),Research only
110,2866,Quality of service in event-based systems,2010,undetermined,process monitoring,QPNs (Quequeing Petri Nets),imperative,full,compliance& audit& privacy& security,IoT,QoS indentification and evaluation,architecture,undetermined,N/A,Undetermined,Conceptual
111,2904,Process based application level architecture for RFID system,2009,undetermined,process implementation,BPMN,imperative,general mention in the paper,integrated platforms for BPM & CEP,RFID,"They design a process-based application level architecture for RFID system, which has been applied into the two practical scenes of logistics.",architecture,undetermined,N/A,Undetermined,Proof of concept
112,2907,Integrating Complex Event Processing to Case Management,2017,port;transport,process redesign,undetermined,imperative,use case,from event streams to process models and back,undetermined,connect CEP and case management,method,undetermined,N/A,Maritime Transport;General Transport,n/a
113,2921,Real-time information acquisition in a model-based integrated planning environment for logistics contracts.,2015,port;transport,process monitoring,BPMN,imperative,use case,integrated platforms for BPM & CEP,RFID;others,monitoring of logistic processess for the integrated planning of logistics contracts,framework,undetermined,N/A,Maritime Transport;General Transport,Prototype
114,2923,Predictive analytics based on CEP for logistic of sensitive goods,2014,pharmacy,process monitoring,undetermined,undetermined,use case,automatic event-based monitoring of processes,undetermined,IoT enabled structure for smart transportation apps,framework,EPL (Esper Event Processing Language),Hybrid,Chemical and pharmaceuticals,No sources provided
115,2932,"An event-driven architecture for integrating information, processes and services in a plastic toys supply chain",2012,port;transport;other,process analysis,BPMN,imperative,use case,integrated platforms for BPM & CEP;(highly) distributed processes & the role of events,undetermined,"Event driven architecture to integrate and coordinate information, processes and services",architecture,CQL (Continuous Query Language),Data stream query language,Maritime Transport;General Transport;Other,Conceptual
116,2964,Incorporating business process management into RFID enabled application systems,2010,other,process redesign,UML Activity Diagram,imperative,general mention in the paper,patterns and models for communication,RFID,Methodology to incorporate business processes into RFID systems,architecture;method,undetermined,N/A,Other,Conceptual
117,2985,Event Correlation for Business Processes on the Basis of Ontologies,2014,parcel delivery,process monitoring,undetermined,undetermined,use case,context in events and processes;event data quality,undetermined,event and process correlation,architecture,SPARQL,Hybrid,Transshipment,Prototype
118,2996,Monitoring batch regions in business processes,2015,port;transport,process monitoring,BPMN,imperative,use case,automatic event-based monitoring of processes,undetermined,Batch regions monitoring,tool,EPL (Esper Event Processing Language),Hybrid,Maritime Transport;General Transport,Prototype
119,3071,IoT-enabled real-time production performance analysis and exception diagnosis model,2015,manufacturing,process analysis,HTCPN (Hierarchical Timed Colored Petri Nets) ,imperative,use case,optimisation opportunities,RFID;IoT,Diagnosis of CEP at runtime,architecture,undetermined,N/A,Manufacturing (general),Proof of concept
120,13621,Chapter 7 - Real-Time Key Production Performances Analysis Method,2017,manufacturing,process analysis;process monitoring,Petri Nets,imperative,full,from event streams to process models and back,GPS;RFID;IoT,A production performance analysis method (to store the events and analyse them),architecture,undetermined,N/A,Manufacturing (general),Conceptual
121,13649,Nondeterministic events in business processes,2012,other,process identification,Subject Behaviour Diagram,imperative,full,integrated platforms for BPM & CEP,undetermined,Integration of CP into SBPM,framework,undetermined,N/A,Other,Prototype
122,13682,The Concept of a Real-time Enterprise in Manufacturing: Design and Implementation of a Framework Based on EDA and CEP,2014,multimodal,process identification;process implementation,BPML (Business Process Modeling Language),imperative,motivating/running example,integrated platforms for BPM & CEP,RFID;others,"design, implementation, and industrial evaluation of a framework based on EDA and CEP",framework,EPL (Esper Event Processing Language),Hybrid,Multimodal Transport,undetermined
123,13717,Simulating business process scenarios for event-based systems,2007,multimodal,process analysis,BPEL,imperative,motivating/running example,abstraction levels;integrated platforms for BPM & CEP,others,A simulation model for imitating business process events in order to improve event-based systems. They focus on how to create event sequences from an annotated WS-BPEL process definition,framework,undetermined,N/A,Multimodal Transport,Conceptual
124,14098,Multi-perspective Process Mining.,2018,other,process discovery,Petri Nets,imperative,use case,event models for BPM;from event streams to process models and back,others,"proposed five multi-perspective process mining methods that all deal with the interaction of multiple process perspectives. In particular, we looked at the interaction between the following five process perspectives that are often considered in literature: the control-flow perspective, the resource perspective, the data perspective, the time perspective, and the function perspective.",method;tool,undetermined,N/A,Other,undetermined
125,14136,Monitoring Security and Safety of Assets in Supply Chains,2012,port;transport;other,process identification;process monitoring,WPDL (Workflow Process Definition Language),imperative,motivating/running example,compliance& audit& privacy& security,GPS,Aproach to specify security and safety requirements of supply chain,framework,undetermined,N/A,Maritime Transport;General Transport;Foodstuffs,Prototype
126,14145,The design and implementation of situation aware smart logistics in perishable food transportation,2018,port;transport;food,process identification;process analysis,ArchiMate,imperative,motivating/running example,integrated platforms for BPM & CEP,undetermined,reduce risk in PERISHABLE FOOD TRANSPORTATION,architecture,undetermined,N/A,General Transport,Prototype
127,14356,Re-evaluation of decisions based on events,2017,port;transport,process monitoring,BPMN,imperative,use case;motivating/running example,integrated platforms for BPM & CEP,public APIs for traffic,To connect process and decision modeling with event processing techniques to enable re-evaluation of decisions,framework,EPL (Esper Event Processing Language),Hybrid,Maritime Transport;General Transport,Proof of concept
128,14777,Systems of insight for digital transformation: Using IBM operational decision manager advanced and predictive analytics,2015,port;transport;manufacturing;retail,process analysis,"BPMN, business rules",imperative,general mention in the paper,event models for BPM;integrated platforms for BPM & CEP;optimisation opportunities;from event streams to process models and back,IoT,The application of IBM tools to the digital transformation,architecture,undetermined,N/A,Air Transport;General Transport,undetermined
129,237068,Predictive Monitoring of Heterogeneous Service-Oriented Business Networks: The Transport and Logistics Case,2012,port;transport,process monitoring,undetermined,undetermined,full,optimisation opportunities,undetermined,Predictive monitoring,architecture,undetermined,N/A,Maritime Transport;General Transport,Prototype
130,237136,Beyond process monitoring: a proof-of-concept of event-driven business activity management,2012,multimodal,process analysis;process monitoring,BPMN,imperative,use case,automatic event-based monitoring of processes;integrated platforms for BPM & CEP,others,to show how to employ complex event processing (CEP) for the observation and management of business processes,architecture,Aleri SQL,Data stream query language,Multimodal Transport,Proof of concept
131,265248,Event-Driven Manufacturing Process Management Approach,2012,manufacturing,process monitoring,BPMN,imperative,motivating/running example;full,automatic event-based monitoring of processes,others,BPMN event-driven process monitoring,architecture,EDMPM ,Based on composition operators,Manufacturing (general),Conceptual
132,265374,Event-driven rules for sensing and responding to business situations,2007,parcel delivery,process identification,BPEL,imperative,motivating/running example,event models for BPM,undetermined,They introduce a rule management system which is able to sense and evaluate events in order to respond to changes in a business environment or customer needs,language,SARI,Production rules,Transshipment,n/a
133,265471,An RFID-based enterprise application integration framework for real-time management of dynamic manufacturing processes,2010,manufacturing,process redesign,undetermined,undetermined,motivating/running example,integrated platforms for BPM & CEP,RFID,They have proposed a RFID-based EAI framework for tracking and controlling the dynamic manufacturing process flow,framework,undetermined,N/A,Manufacturing (general),Prototype
134,296369,GRUVe: A Methodology for Complex Event Pattern Life Cycle Management,2010,undetermined,process analysis,undetermined,undetermined,general mention in the paper,patterns and models for communication,undetermined,a methodology and an implementation for the complex event pattern life cycle management,framework;tool,CEPAT,Production rules,Undetermined,No sources provided
135,296393,Incorporating Events into Cross-Organizational Business Processes,2008,parcel delivery,process redesign;process monitoring,"BPEL, ebBP, CDL (Choreography Description Language)
",imperative,motivating/running example,choreographies&inter-process correlation,RFID;others,To incorporate events to Web process which is distributed in order to favour the orchestration and the pro-active monitoring,architecture;method,ECA rules,Logic languages,Transshipment,Conceptual
136,296444,RFID-based Supply Chain Process Mining for Imported Beef,2013,food,process discovery,Petri Nets,imperative,use case;motivating/running example,from event streams to process models and back,RFID,"They suggest a novel approach, called RFID-based supply chain process mining, to automatically discover and analyze the overall supply chain processes from the distributed RFID event data, without any prior knowledge",method,undetermined,N/A,Foodstuffs,n/a
137,296464,Bayesian network construction from event log for lateness analysis in port logistics,2015,port,process analysis,WPDL (Workflow Process Definition Language),imperative,use case,integrated platforms for BPM & CEP,undetermined,"method for constructing a Bayesian network by decomposition of a dependency graph generated from event logs in a port management system. They were able to predict the
lateness probability.",method,undetermined,N/A,Maritime Transport,n/a
138,374576,Event correlation for process discovery from web service interaction logs,2011,other,process discovery,FSM (Finite State Machine),undetermined,motivating/running example,event models for BPM,undetermined,Correlation of process events in the context of service-based processes and the discovery of process views,method;tool,undetermined,N/A,Other,Research only
139,471320,RFID Business Aware Framework for Business Process in the EPC Network,2007,undetermined,process identification,BPEL,imperative,general mention in the paper,event models for BPM,EPCIS standard,This paper describes an RFID Biz AF framework that enables a user to specify and update the business rules without changing the application’s source code.,framework,Biz EDT,Other,Undetermined,No sources provided
140,507542,preCEP: Facilitating Predictive Event-Driven Process Analytics,2013,undetermined,process analysis,Petri Nets,imperative,general mention in the paper,integrated platforms for BPM & CEP,undetermined,The goal of this research is to reduce a decision maker’s action distance to the observation of critical events.,architecture,undetermined,N/A,Undetermined,Proof of concept
141,507613,A scalable real-time tracking and monitoring architecture for logistics and transport in RoRo terminals,2019,port,process analysis;process monitoring,Petri Nets,imperative,use case;motivating/running example,integrated platforms for BPM & CEP,RFID;others,"The main objective of this work is to contribute to the literature on RoRo terminals. This is in order to find solutions for the automation of the supervision, monitoring and the tracking of rolling cargo. In this work, a novel architecture has been designed based on auto-ID technologies (Barcode, QRCode, and magnetic ID cards).",architecture,undetermined,N/A,Maritime Transport,Prototype
142,507928,Supply Chain Event Management System,2011,port;multimodal,process analysis;process monitoring,Supply Chain propietary DSL,imperative,use case,automatic event-based monitoring of processes,undetermined,"A proposal to systematically address the problem of disruptive event
management in SC",architecture,undetermined,N/A,Maritime Transport;Multimodal Transport,Conceptual
143,507986,Inter-Workflow Patterns in Logistic Processes,2009,retail,process discovery,CSM (Chained Service Model),imperative,motivating/running example,patterns and models for communication;choreographies&inter-process correlation,undetermined,Inter-workflow patterns that represent the relations among the separate processe to create ECA rules automatically,method;tool,ECA rules,Production rules,Retail,undetermined
144,558969,Towards Decentralized Monitoring of Supply Chains,2012,undetermined,process monitoring,BPMN,imperative,full,choreographies&inter-process correlation,others,choreography monitoring of cross-organizational business processes,architecture,undetermined,N/A,Undetermined,Conceptual
145,1932566,Using Physical Factory Simulation Models for Business Process Management Research,2020,manufacturing,process analysis;process implementation,BPMN,imperative,general mention in the paper,other,IoT,Provide a tool to be used in research in the context of BP in IoT contexts-,framework,Siddhi Streaming SQL,Data stream query language,Manufacturing (general),Combination of commercial tools
146,1932748,Execution of Multi-Perspective Declarative Process Models Using Complex Event Processing ,2021,undetermined,process monitoring,Declare,declarative,general mention in the paper,integrated platforms for BPM & CEP,IoT,,tool,EPL (Esper Event Processing Language) ,Hybrid,Undetermined,Combination of commercial tools
147,1932839,BRIBOT: Towards a Service-Based Methodology for Bridging Business Processes and IoT Big Data,2021,undetermined,process redesign,BPMN,imperative,general mention in the paper,event models for BPM,IoT,,method,event calculus,Logic languages,Undetermined,Conceptual
148,2117185,INTER-LogP: INTER-IoT for Smart Port Transportation,2021,port,process implementation,undetermined,undetermined,full,compliance& audit& privacy& security,RFID;IoT,,framework,Siddhi Streaming SQL,Data stream query language,Maritime Transport;Integration of Supply Chain/Logistics,Combination of commercial tools
149,2117201,Business-Oriented IoT-Aware Process Modeling and Execution,2021,undetermined,process redesign,BPMN,imperative,general mention in the paper,integrated platforms for BPM & CEP,IoT,,framework,Apache FlinkCEP,Hybrid,Undetermined,Combination of commercial tools
150,2352955,A Knowledge Driven Approach towards the Validation of Externally Acquired Traceability Datasets in Supply Chain Business Processes,2014,pharmacy,process monitoring,undetermined,undetermined,full,event data quality,EPCIS standard,Validating traceability data,architecture;method,SPARQL,Hybrid,Chemical and pharmaceuticals,Combination of commercial tools
151,2353028,Object Oriented Business Process Modelling in RFID Applied Computing Environments,2010,port;transport;other,process implementation,UML-based Propietary DSL,imperative,motivating/running example,context in events and processes,RFID,"context awareness, applying OO process modelling in RFID applications",method;model,event calculus,Logic languages,General Transport;Storage,Conceptual
152,2353203,Integrating IoT Devices into Business Processes,2018,undetermined,process redesign,BPMN,imperative,general mention in the paper,automatic event-based monitoring of processes,IoT,,tool,EPL (Esper Event Processing Language) ,Hybrid,Undetermined,Prototype
153,2353211,Real-time business activity monitoring and analysis of process performance on big-data domains,2016,retail,process analysis;process monitoring,BPEL,imperative,general mention in the paper,automatic event-based monitoring of processes;(highly) distributed processes & the role of events,undetermined,,architecture,undetermined,N/A,Retail;Integration of Supply Chain/Logistics,Combination of commercial tools
154,2353212,Toward the Support of Challenging Service Level Agreements (SLAs) in Manual and Context-Dependent Activities,2016,port;transport,process monitoring,BPMN,imperative,use case,automatic event-based monitoring of processes,IoT,,framework,EPL (Esper Event Processing Language) ,Hybrid,Road Transport,Proof of concept
155,2353249,User-centric modeling and processing for ubiquitous events using semantic capability models,2012,undetermined,process redesign,undetermined,undetermined,motivating/running example,event models for BPM,undetermined,,method,SPARQL,Hybrid,Undetermined,Conceptual
156,2614321,Enabling situational awareness of business processes,2021,undetermined,process redesign,BPMN,imperative,general mention in the paper,context in events and processes,others,To integrate situational awareness into business process management for the purpose of realising hyper automated business processes,architecture,event calculus,Logic languages,Undetermined,Conceptual
157,2614324,Enabling intelligent business processes with context awareness,2018,undetermined,process redesign,BPMN,imperative,general mention in the paper,context in events and processes,RFID;temperature sensors,,tool,event calculus,Logic languages,Undetermined,Research only
158,2614539,WiseWare: A Device-to-Device-Based Business Process Management System for Industrial Internet of Things,2017,port;transport,process monitoring,BPMN,imperative,use case,automatic event-based monitoring of processes;choreographies&inter-process correlation,RFID;IoT,"Monitor the status of goods and react to events which result from the monitoring. These BP-s are migrated from the device of one companys worker to the device of another companys worker dynamically, while the BPs are being executed, in order to achieve a continuous monitoring of the goods.",framework,Eventlet,N/A,General Transport,Prototype
159,2614833,Holistic Approach for Process Model Discovery,2017,port;transport;retail,process discovery,"Petri Nets, BPMN",imperative,use case,from event streams to process models and back,RFID,,method,SPARQL,Hybrid,General Transport;Retail;Integration of Supply Chain/Logistics,Proof of concept
160,2614909,Automated process model generation for internet of things oriented enterprise systems,2016,retail,process discovery,"BPMN, Petri Nets",imperative,motivating/running example,from event streams to process models and back,RFID,,framework,SPARQL,Hybrid,Retail;Integration of Supply Chain/Logistics,Proof of concept
161,2644180,Automated process recognition architecture for cyber-physical systems,2018,port;transport,process discovery,Petri Nets,imperative,full,patterns and models for communication,GPS;RFID,,method,SPARQL,Hybrid,General Transport,Proof of concept
162,2644233,GET controller and UNICORN: Event-driven process execution and monitoring in logistics,2015,port;multimodal;transport,process monitoring,BPMN,imperative,full,automatic event-based monitoring of processes,GPS,"Connecting external events from various heterogeneous sources with the transportation execution, promptly notifying about disruptive conditions at run-time when dangerous situations occur.",tool,EPL (Esper Event Processing Language),Hybrid,Air Transport;Road Transport;Multimodal Transport,Prototype
163,2644405,User-centric complex event modeling and implementation based on ubiquitous data service,2012,undetermined,process redesign,BPMN,imperative,general mention in the paper,integrated platforms for BPM & CEP,undetermined,To realize user-centric and automated complex event implementation for business users in a service-oriented environment based on publish/subscribe messaging paradigm and semantic web technology,architecture,BEMN,Based on composition operators,Undetermined,Conceptual
164,2644431,MArtifact: An artifact-driven process monitoring platform,2017,port;transport,process monitoring,E-GSM,declarative,full,automatic event-based monitoring of processes,IoT;wireless sensor networks (WSN),monitoring platform capable to continuously and autonomously monitor business processes,tool,undetermined,N/A,Road Transport,Research only
165,2644581,Proactive business process compliance monitoring with event-based systems,2011,other,process monitoring,EPC (Event Driven Process Chain),imperative,motivating/running example,automatic event-based monitoring of processes,undetermined,framework for monitoring the compliance of business processes using the Complex Event Processing paradigm,framework,SARI,Production rules,Integration of Supply Chain/Logistics,Research only
166,3247016,IoDEP: Towards an IoT-Data Analysis and Event Processing Architecture for Business Process Incident Management,2022,undetermined,process monitoring,BPMN,imperative,general mention in the paper,from event streams to process models and back,IoT,,architecture,SQL,Data stream query language,Undetermined,Combination of commercial tools
167,3343996,Towards a semantic framework for business activity monitoring and management,2008,undetermined,process monitoring,"UML Activity Diagram,BPMN",imperative,general mention in the paper,optimisation opportunities,undetermined,,tool,SWRL(Semantic Web Rule Language),Logic languages,Undetermined,Research only
168,3343998,iWISE: A framework for providing distributed process visibility using an event-based process modelling approach,2006,other,process monitoring,"UML Activity Diagram, BPMN",imperative,motivating/running example,(highly) distributed processes & the role of events,undetermined,,model,undetermined,N/A,Health;Integration of Supply Chain/Logistics,No sources provided
